Landsat Scene Identifier,Sensor Mode,Station Identifier,Day/Night,WRS Path,WRS Row,Date Acquired,Start Time,Stop Time,Image Quality VCID 1,Image Quality VCID 2,Cloud Cover,Cloud Cover Quad Upper Left,Cloud Cover Quad Upper Right,Cloud Cover Quad Lower Left,Cloud Cover Quad Lower Right,Sun Elevation,Sun Azimuth,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Full Aperture Calibration,Gain Band 1,Gain Band 2,Gain Band 3,Gain Band 4,Gain Band 5,Gain Band 6 VCID 1,Gain Band 6 VCID 2,Gain Band 7,Gain Band 8,Browse Exists,Data Category,Gap Phase Source,Gap Phase Statistic,Gain Change Band 1,Gain Change Band 2,Gain Change Band 3,Gain Change Band 4,Gain Change Band 5,Gain Change Band 6 VCID 1,Gain Change Band 6 VCID 2,Gain Change Band 7,Gain Change Band 8,Data Type Level 1,Elevation Source,Output Format,Ephemeris Type,Corner UL Latitude Product,Corner UL Longitude Product,Corner UR Latitude Product,Corner UR Longitude Product,Corner LL Latitude Product,Corner LL Longitude Product,Corner LR Latitude Product,Corner LR Longitude Product,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Date Acquired Gap Fill,Gap Fill,Ground Control Points Model,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Map Projection L1,Datum,Ellipsoid,UTM Zone,Vertical Longitude from Pole,True Scale Latitude,False Easting,False Northing,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Orientation,Resampling Option,Scan Gap Interpolation,Scene Center Latitude dec,Scene Center Longitude dec,Corner Upper Left Lat dec,Corner Upper Left Long dec,Corner Upper Right Lat dec,Corner Upper Right Long dec,Corner Lower Left Lat dec,Corner Lower Left Long dec,Corner Lower Right Lat dec,Corner Lower Right Long dec,Display ID,Ordering ID,Download Link
LE70060682012102CUB00,BUMPER,CUB,DAY, 006, 068,2012/04/11,2012:102:14:58:35.3470624,2012:102:14:59:02.1011250, 9, 9,  96.39,  97.75,  91.64,  97.08,  99.10,53.72398376,57.48642731,11°34'20.35"S,74°46'35.08"W,10°38'08.05"S,75°27'57.49"W,10°53'11.44"S,73°43'59.12"W,12°15'00.14"S,75°49'27.05"W,12°30'08.60"S,74°04'49.69"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,9.369571,HL,HL,HL,LL,HL,LL,HH,HL,LL,ETM+  L1G,,GEOTIFF,DEFINITIVE,-10.61549   (10°36'55.76"S), -75.87945  (75°52'46.02"W),-10.61393   (10°36'50.15"S), -73.67724  (73°40'38.06"W),-12.50629   (12°30'22.64"S), -75.88537   (75°53'07.33"W),-12.50445   (12°30'16.02"S), -73.66834   (73°40'06.02"W),13941,16061,6971,8031,6971,8031,,,,,,,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57232,-74.77641,-10.63557,-75.46597,-10.88651,-73.73309,-12.25004,-75.82418,-12.50239,-74.08047,LE70060682012102CUB00,LE70060682012102CUB00,http://earthexplorer.usgs.gov/download/options/5441/LE70060682012102CUB00
LE70060682012086CUB00,BUMPER,CUB,DAY, 006, 068,2012/03/26,2012:086:14:58:40.5289374,2012:086:14:59:07.2829999, 9, 9,  89.15,  97.46,  79.45,  95.32,  84.37,55.70794678,67.66632843,11°34'20.32"S,74°47'34.66"W,10°38'23.10"S,75°29'00.10"W,10°53'26.09"S,73°45'02.84"W,12°15'14.08"S,75°50'30.16"W,12°30'22.21"S,74°05'53.77"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,PCD,2.805959,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1G,,GEOTIFF,DEFINITIVE,-10.62083   (10°37'14.99"S), -75.90689  (75°54'24.80"W),-10.61947   (10°37'10.09"S), -73.70464  (73°42'16.70"W),-12.50620   (12°30'22.32"S), -75.91297   (75°54'46.69"W),-12.50459   (12°30'16.52"S), -73.69594   (73°41'45.38"W),13901,16061,6951,8031,6951,8031,,,,,,,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57231,-74.79296,-10.63975,-75.48336,-10.89058,-73.75079,-12.25391,-75.84171,-12.50617,-74.09827,LE70060682012086CUB00,LE70060682012086CUB00,http://earthexplorer.usgs.gov/download/options/5441/LE70060682012086CUB00
LE70060682012070CUB00,BUMPER,CUB,DAY, 006, 068,2012/03/10,2012:070:14:58:38.2265625,2012:070:14:59:04.9806250, 9, 9,  96.41,  96.52,  93.80,  95.57,  99.72,56.81266403,79.05966187,11°34'20.71"S,74°46'56.86"W,10°38'15.83"S,75°28'21.00"W,10°53'17.88"S,73°44'26.48"W,12°15'07.78"S,75°49'46.92"W,12°30'16.13"S,74°05'13.42"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-6.805764,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1G,,GEOTIFF,DEFINITIVE,-10.61818   (10°37'05.45"S), -75.88494  (75°53'05.78"W),-10.61668   (10°37'00.05"S), -73.68546  (73°41'07.66"W),-12.50898   (12°30'32.33"S), -75.89090   (75°53'27.24"W),-12.50720   (12°30'25.92"S), -73.67661   (73°40'35.80"W),13941,16041,6971,8021,6971,8021,,,,,,,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57242,-74.78246,-10.63773,-75.4725,-10.8883,-73.74069,-12.25216,-75.8297,-12.50448,-74.08706,LE70060682012070CUB00,LE70060682012070CUB00,http://earthexplorer.usgs.gov/download/options/5441/LE70060682012070CUB00
LE70060682012054ASN00,BUMPER,ASN,DAY, 006, 068,2012/02/23,2012:054:14:58:41.2038124,2012:054:14:59:07.9580625, 9, 9,  97.49,  96.33,  98.54,  98.82,  96.29,57.15426254,90.37229919,11°34'18.88"S,74°47'55.00"W,10°38'16.22"S,75°29'15.29"W,10°53'18.74"S,73°45'24.84"W,12°15'09.72"S,75°50'44.84"W,12°30'17.64"S,74°06'15.37"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,4.539825,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1G,,GEOTIFF,DEFINITIVE,-10.61812   (10°37'05.23"S), -75.90688  (75°54'24.77"W),-10.61678   (10°37'00.41"S), -73.71013  (73°42'36.47"W),-12.50348   (12°30'12.53"S), -75.91296   (75°54'46.66"W),-12.50190   (12°30'06.84"S), -73.70148   (73°42'05.33"W),13901,16021,6951,8011,6951,8011,,,,,,,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57191,-74.79861,-10.63784,-75.48758,-10.88854,-73.7569,-12.2527,-75.84579,-12.5049,-74.10427,LE70060682012054ASN00,LE70060682012054ASN00,http://earthexplorer.usgs.gov/download/options/5441/LE70060682012054ASN00
LE70060682012038COA00,BUMPER,COA,DAY, 006, 068,2012/02/07,2012:038:14:58:39.0283750,2012:038:14:59:05.7824374, 9, 9,  90.96,  90.71,  95.31,  79.73,  98.07,57.1477623,100.46168518,11°34'18.08"S,74°47'55.00"W,10°38'15.18"S,75°29'14.10"W,10°53'17.59"S,73°45'24.48"W,12°15'09.25"S,75°50'45.31"W,12°30'17.71"S,74°06'16.85"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,-8.927644,HL,HL,HL,LL,HL,LL,HH,HL,LL,ETM+  L1G,,GEOTIFF,DEFINITIVE,-10.61542   (10°36'55.51"S), -75.90138  (75°54'04.97"W),-10.61404   (10°36'50.54"S), -73.70192  (73°42'06.91"W),-12.50893   (12°30'32.15"S), -75.90746   (75°54'26.86"W),-12.50729   (12°30'26.24"S), -73.69317   (73°41'35.41"W),13961,16041,6981,8021,6981,8021,,,,,,,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57169,-74.79861,-10.63755,-75.48725,-10.88822,-73.7568,-12.25257,-75.84592,-12.50492,-74.10468,LE70060682012038COA00,LE70060682012038COA00,http://earthexplorer.usgs.gov/download/options/5441/LE70060682012038COA00
LE70060682012022EDC00,BUMPER,EDC,DAY, 006, 068,2012/01/22,2012:022:14:58:32.7328749,2012:022:14:58:59.4869375, 9, 9,  76.90,  98.27,  70.66,  48.17,  90.49,57.3044014,108.57609558,11°34'18.55"S,74°47'09.92"W,10°38'16.19"S,75°28'30.65"W,10°53'19.46"S,73°44'39.95"W,12°15'06.16"S,75°49'59.84"W,12°30'14.83"S,74°05'30.34"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,13.790781,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE,-10.61815   (10°37'05.34"S), -75.89591  (75°53'45.28"W),-10.61673   (10°37'00.23"S), -73.69642  (73°41'47.11"W),-12.50352   (12°30'12.67"S), -75.90192   (75°54'06.91"W),-12.50183   (12°30'06.59"S), -73.68768   (73°41'15.65"W),13901,16041,6951,8021,6951,8021,,,10,10.218,2.912,9.794,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57182,-74.78609,-10.63783,-75.47518,-10.88874,-73.74443,-12.25171,-75.83329,-12.50412,-74.09176,LE70060682012022EDC00,LE70060682012022EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70060682012022EDC00
LE70060682012006COA00,BUMPER,COA,DAY, 006, 068,2012/01/06,2012:006:14:58:34.4924999,2012:006:14:59:01.2466249, 9, 9,  69.77,  65.89,  24.96,  98.39,  89.85,58.01651764,114.20938873,11°34'17.00"S,74°48'46.55"W,10°38'16.66"S,75°30'08.10"W,10°53'20.72"S,73°46'13.48"W,12°15'07.16"S,75°51'39.74"W,12°30'16.85"S,74°07'06.35"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,1.551969,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE,-10.61264   (10°36'45.50"S), -75.92606  (75°55'33.82"W),-10.61141   (10°36'41.08"S), -73.72387  (73°43'25.93"W),-12.50342   (12°30'12.31"S), -75.93229   (75°55'56.24"W),-12.50197   (12°30'07.09"S), -73.71528   (73°42'55.01"W),13941,16061,6971,8031,6971,8031,,,6,20.136,5.152,19.466,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57139,-74.81293,-10.63796,-75.50225,-10.88909,-73.77041,-12.25199,-75.86104,-12.50468,-74.11843,LE70060682012006COA00,LE70060682012006COA00,http://earthexplorer.usgs.gov/download/options/5441/LE70060682012006COA00
LE70060682011339ASN00,BUMPER,ASN,DAY, 006, 068,2011/12/05,2011:339:14:58:18.7203124,2011:339:14:58:45.4743750, 9, 9,  71.82,  75.26,  99.79,  31.11,  81.11,61.35086441,115.82666016,11°34'15.49"S,74°48'01.94"W,10°38'02.69"S,75°29'22.16"W,10°53'08.34"S,73°45'25.09"W,12°14'54.28"S,75°50'52.48"W,12°30'05.83"S,74°06'16.45"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-.942578,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE,-10.61271   (10°36'45.76"S), -75.90138  (75°54'04.97"W),-10.61132   (10°36'40.75"S), -73.70193  (73°42'06.95"W),-12.50621   (12°30'22.36"S), -75.90745   (75°54'26.82"W),-12.50457   (12°30'16.45"S), -73.69318   (73°41'35.45"W),13961,16041,6981,8021,6981,8021,,,12,4.09,2.825,2.958,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57097,-74.80054,-10.63408,-75.48949,-10.88565,-73.75697,-12.24841,-75.84791,-12.50162,-74.10457,LE70060682011339ASN00,LE70060682011339ASN00,http://earthexplorer.usgs.gov/download/options/5441/LE70060682011339ASN00
LE70060682011323ASN00,BUMPER,ASN,DAY, 006, 068,2011/11/19,2011:323:14:58:10.6523749,2011:323:14:58:37.4064375, 9, 9,  83.53,  95.85,  78.26,  81.50,  78.51,63.25783157,110.48271942,11°34'15.02"S,74°47'54.92"W,10°38'07.94"S,75°29'15.00"W,10°53'13.31"S,73°45'20.34"W,12°15'00.36"S,75°50'46.00"W,12°30'11.74"S,74°06'12.38"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-12.940354,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1G,,GEOTIFF,DEFINITIVE,-10.61540   (10°36'55.44"S), -75.90961  (75°54'34.60"W),-10.61406   (10°36'50.62"S), -73.70740  (73°42'26.64"W),-12.50076   (12°30'02.74"S), -75.91572   (75°54'56.59"W),-12.49918   (12°29'57.05"S), -73.69873   (73°41'55.43"W),13901,16061,6951,8031,6951,8031,,,,,,,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57084,-74.79859,-10.63554,-75.4875,-10.88703,-73.75565,-12.2501,-75.84611,-12.50326,-74.10344,LE70060682011323ASN00,LE70060682011323ASN00,http://earthexplorer.usgs.gov/download/options/5441/LE70060682011323ASN00
LE70060682011291ASN00,BUMPER,ASN,DAY, 006, 068,2011/10/18,2011:291:14:57:51.5472500,2011:291:14:58:18.3013124, 9, 9,  85.51,  88.63,  99.82,  55.28,  98.30,63.80981827,88.33759308,11°34'14.70"S,74°47'32.28"W,10°38'11.65"S,75°28'50.95"W,10°53'16.73"S,73°45'01.69"W,12°15'04.46"S,75°50'21.34"W,12°30'15.37"S,74°05'53.20"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,13.689033,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE,-10.61814   (10°37'05.30"S), -75.90139  (75°54'05.00"W),-10.61673   (10°37'00.23"S), -73.69642  (73°41'47.11"W),-12.50350   (12°30'12.60"S), -75.90744   (75°54'26.78"W),-12.50183   (12°30'06.59"S), -73.68768   (73°41'15.65"W),13901,16081,6951,8041,6951,8041,,,31,25.422,21.731,13.192,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57075,-74.7923,-10.63657,-75.48082,-10.88798,-73.75047,-12.25124,-75.83926,-12.50427,-74.09811,LE70060682011291ASN00,LE70060682011291ASN00,http://earthexplorer.usgs.gov/download/options/5441/LE70060682011291ASN00
LE70060682011275ASN00,BUMPER,ASN,DAY, 006, 068,2011/10/02,2011:275:14:57:48.7063750,2011:275:14:58:15.4604375, 9, 9,  67.56,  89.50,  67.02,  44.22,  69.51,61.48300934,75.95158386,11°34'18.05"S,74°48'22.00"W,10°38'14.57"S,75°29'43.04"W,10°53'15.94"S,73°45'51.84"W,12°15'08.14"S,75°51'08.75"W,12°30'15.52"S,74°06'38.74"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-14.944864,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE,-10.61812   (10°37'05.23"S), -75.90688  (75°54'24.77"W),-10.61678   (10°37'00.41"S), -73.71013  (73°42'36.47"W),-12.50891   (12°30'32.08"S), -75.91298   (75°54'46.73"W),-12.50733   (12°30'26.39"S), -73.70145   (73°42'05.22"W),13941,16021,6971,8011,6971,8011,,,34,6.008,3.139,5.123,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57168,-74.80611,-10.63738,-75.49529,-10.88776,-73.7644,-12.25226,-75.85243,-12.50431,-74.11076,LE70060682011275ASN00,LE70060682011275ASN00,http://earthexplorer.usgs.gov/download/options/5441/LE70060682011275ASN00
LE70060682011259ASN00,BUMPER,ASN,DAY, 006, 068,2011/09/16,2011:259:14:57:49.4311250,2011:259:14:58:16.1851874, 9, 9,  67.90,  80.84,  36.68,  68.99,  85.07,57.86883545,65.55463409,11°34'17.47"S,74°46'56.71"W,10°38'16.04"S,75°28'19.38"W,10°53'18.20"S,73°44'24.79"W,12°15'07.49"S,75°49'44.62"W,12°30'15.62"S,74°05'11.26"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,14.080338,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE,-10.61817   (10°37'05.41"S), -75.89042  (75°53'25.51"W),-10.61671   (10°37'00.16"S), -73.69368  (73°41'37.25"W),-12.50354   (12°30'12.74"S), -75.89640   (75°53'47.04"W),-12.50182   (12°30'06.55"S), -73.68492   (73°41'05.71"W),13901,16021,6951,8011,6951,8011,,,19,10.403,9.917,3.144,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57152,-74.78242,-10.63779,-75.47205,-10.88839,-73.74022,-12.25208,-75.82906,-12.50434,-74.08646,LE70060682011259ASN00,LE70060682011259ASN00,http://earthexplorer.usgs.gov/download/options/5441/LE70060682011259ASN00
LE70060682011243ASA00,BUMPER,ASA,DAY, 006, 068,2011/08/31,2011:243:14:57:54.6999374,2011:243:14:58:21.4539375, 9, 9,  57.44,  60.56,  27.18,  77.69,  64.32,53.70446777,57.49583435,11°34'18.80"S,74°46'54.52"W,10°38'08.16"S,75°28'17.11"W,10°53'11.58"S,73°44'19.68"W,12°14'57.34"S,75°49'46.70"W,12°30'05.76"S,74°05'10.32"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,6.303297,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE,-10.61547   (10°36'55.69"S), -75.88493  (75°53'05.75"W),-10.61397   (10°36'50.29"S), -73.68547  (73°41'07.69"W),-12.50627   (12°30'22.57"S), -75.89089   (75°53'27.20"W),-12.50449   (12°30'16.16"S), -73.67662   (73°40'35.83"W),13941,16041,6971,8021,6971,8021,,,18,6.82,3.407,5.908,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57189,-74.78181,-10.6356,-75.47142,-10.88655,-73.7388,-12.24926,-75.82964,-12.5016,-74.0862,LE70060682011243ASA00,LE70060682011243ASA00,http://earthexplorer.usgs.gov/download/options/5441/LE70060682011243ASA00
LE70060682011227ASN00,BUMPER,ASN,DAY, 006, 068,2011/08/15,2011:227:14:57:57.2956249,2011:227:14:58:24.0496875, 9, 9,  82.58,  96.57,  54.81,  83.40,  95.53,49.73633957,51.33467484,11°34'17.87"S,74°46'31.12"W,10°38'07.37"S,75°27'54.76"W,10°53'10.50"S,73°43'56.35"W,12°14'59.14"S,75°49'22.33"W,12°30'08.17"S,74°04'44.94"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,8.971244,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE,-10.61549   (10°36'55.76"S), -75.87670  (75°52'36.12"W),-10.61393   (10°36'50.15"S), -73.67724  (73°40'38.06"W),-12.50630   (12°30'22.68"S), -75.88260   (75°52'57.36"W),-12.50445   (12°30'16.02"S), -73.66834   (73°40'06.02"W),13941,16041,6971,8021,6971,8021,,,14,6.755,6.207,2.664,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57163,-74.77531,-10.63538,-75.46521,-10.88625,-73.73232,-12.24976,-75.82287,-12.50227,-74.07915,LE70060682011227ASN00,LE70060682011227ASN00,http://earthexplorer.usgs.gov/download/options/5441/LE70060682011227ASN00
LE70060682011211EDC00,BUMPER,EDC,DAY, 006, 068,2011/07/30,2011:211:14:58:01.0511250,2011:211:14:58:27.8052500, 9, 9,  41.83,  76.97,  50.11,  15.34,  24.89,46.53903961,46.62158585,11°34'17.98"S,74°46'38.96"W,10°38'07.69"S,75°28'01.56"W,10°53'10.75"S,73°44'05.82"W,12°14'59.82"S,75°49'29.78"W,12°30'08.50"S,74°04'55.02"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-8.686748,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE,-10.61818   (10°37'05.45"S), -75.88768  (75°53'15.65"W),-10.61669   (10°37'00.08"S), -73.68820  (73°41'17.52"W),-12.50084   (12°30'03.02"S), -75.89363   (75°53'37.07"W),-12.49908   (12°29'56.69"S), -73.67941   (73°40'45.88"W),13881,16041,6941,8021,6941,8021,,,145,5.146,2.36,4.573,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57166,-74.77749,-10.63547,-75.4671,-10.88632,-73.73495,-12.24995,-75.82494,-12.50236,-74.08195,LE70060682011211EDC00,LE70060682011211EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70060682011211EDC00
LE70060682011195EDC00,BUMPER,EDC,DAY, 006, 068,2011/07/14,2011:195:14:58:04.0885624,2011:195:14:58:30.8426250, 9, 9,  50.74,  71.77,  69.17,   9.92,  52.09,44.49509048,43.15350723,11°34'17.11"S,74°46'48.65"W,10°38'06.54"S,75°28'08.83"W,10°53'08.99"S,73°44'16.73"W,12°14'58.20"S,75°49'35.40"W,12°30'06.59"S,74°05'04.31"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-8.296514,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE,-10.61818   (10°37'05.45"S), -75.88768  (75°53'15.65"W),-10.61670   (10°37'00.12"S), -73.69094  (73°41'27.38"W),-12.50084   (12°30'03.02"S), -75.89363   (75°53'37.07"W),-12.49909   (12°29'56.72"S), -73.68217   (73°40'55.81"W),13881,16021,6941,8011,6941,8011,,,83,4.667,2.72,3.793,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57142,-74.78018,-10.63515,-75.46912,-10.88583,-73.73798,-12.2495,-75.8265,-12.50183,-74.08453,LE70060682011195EDC00,LE70060682011195EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70060682011195EDC00
LE70060682011179EDC00,BUMPER,EDC,DAY, 006, 068,2011/06/28,2011:179:14:58:03.9533749,2011:179:14:58:30.7074999, 9, 9,  55.39,  74.97,  90.57,   2.71,  53.29,43.79275894,40.97184372,11°34'16.39"S,74°46'16.61"W,10°38'11.29"S,75°27'36.61"W,10°53'13.78"S,73°43'46.85"W,12°15'03.35"S,75°49'04.76"W,12°30'11.70"S,74°04'36.05"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-8.752015,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE,-10.61819   (10°37'05.48"S), -75.88220  (75°52'55.92"W),-10.61667   (10°37'00.01"S), -73.68271  (73°40'57.76"W),-12.50085   (12°30'03.06"S), -75.88811   (75°53'17.20"W),-12.49905   (12°29'56.58"S), -73.67389   (73°40'26.00"W),13881,16041,6941,8021,6941,8021,,,108,4.551,2.552,3.768,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57122,-74.77128,-10.63647,-75.46017,-10.88716,-73.72968,-12.25093,-75.81799,-12.50325,-74.07668,LE70060682011179EDC00,LE70060682011179EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70060682011179EDC00
LE70060682011163ASN00,BUMPER,ASN,DAY, 006, 068,2011/06/12,2011:163:14:58:08.5061875,2011:163:14:58:35.2603750, 9, 9,  18.25,  18.57,  14.69,   7.32,  32.43,44.42150497,40.30410004,11°34'16.61"S,74°47'05.03"W,10°38'05.68"S,75°28'23.81"W,10°53'08.12"S,73°44'33.40"W,12°14'58.34"S,75°49'51.10"W,12°30'06.77"S,74°05'21.84"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,6.592701,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE,-10.61276   (10°36'45.94"S), -75.88492  (75°53'05.71"W),-10.61127   (10°36'40.57"S), -73.68822  (73°41'17.59"W),-12.50627   (12°30'22.57"S), -75.89089   (75°53'27.20"W),-12.50451   (12°30'16.24"S), -73.67938   (73°40'45.77"W),13961,16021,6981,8011,6981,8011,,,134,5.099,2.961,4.151,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57128,-74.78473,-10.63491,-75.47328,-10.88559,-73.74261,-12.24954,-75.83086,-12.50188,-74.0894,LE70060682011163ASN00,LE70060682011163ASN00,http://earthexplorer.usgs.gov/download/options/5441/LE70060682011163ASN00
LE70060682011147EDC00,BUMPER,EDC,DAY, 006, 068,2011/05/27,2011:147:14:58:08.6453750,2011:147:14:58:35.3994375, 9, 9,  86.29,  97.82,  96.88,  71.16,  79.29,46.18221283,41.48527908,11°34'17.26"S,74°46'48.86"W,10°38'12.62"S,75°28'11.42"W,10°53'15.65"S,73°44'17.81"W,12°15'05.65"S,75°49'39.04"W,12°30'14.47"S,74°05'06.61"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-15.267282,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE,-10.61818   (10°37'05.45"S), -75.88768  (75°53'15.65"W),-10.61670   (10°37'00.12"S), -73.69094  (73°41'27.38"W),-12.50355   (12°30'12.78"S), -75.89364   (75°53'37.10"W),-12.50181   (12°30'06.52"S), -73.68216   (73°40'55.78"W),13901,16021,6951,8011,6951,8011,,,16,4.67,2.667,3.834,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.57146,-74.78024,-10.63684,-75.46984,-10.88768,-73.73828,-12.25157,-75.82751,-12.50402,-74.08517,LE70060682011147EDC00,LE70060682011147EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70060682011147EDC00
LE70060682011131EDC00,BUMPER,EDC,DAY, 006, 068,2011/05/11,2011:131:14:58:08.2831875,2011:131:14:58:35.0372500, 9, 9,  25.47,  29.66,  23.89,  26.27,  22.05,48.70553589,44.88368607,11°34'18.12"S,74°46'32.52"W,10°38'08.02"S,75°27'54.25"W,10°53'11.65"S,73°43'58.04"W,12°15'00.36"S,75°49'23.30"W,12°30'09.29"S,74°04'48.14"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,8.822275,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE,-10.61278   (10°36'46.01"S), -75.87670  (75°52'36.12"W),-10.61122   (10°36'40.39"S), -73.67725  (73°40'38.10"W),-12.50630   (12°30'22.68"S), -75.88260   (75°52'57.36"W),-12.50445   (12°30'16.02"S), -73.66834   (73°40'06.02"W),13961,16041,6981,8021,6981,8021,,,113,7.535,3.092,6.871,UTM,WGS84,WGS84,18,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,-11.5717,-74.7757,-10.63556,-75.46507,-10.88657,-73.73279,-12.2501,-75.82314,-12.50258,-74.08004,LE70060682011131EDC00,LE70060682011131EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70060682011131EDC00
